"filename", "language", "Python", "YAML", "JSON", "toml", "Markdown", "reStructuredText", "Batch", "JavaScript", "PostCSS", "Makefile", "pip requirements", "comment", "blank", "total"
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/src/gradnet/__init__.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/src/gradnet/gradnet.py", "Python", 583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 305, 82, 970
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/src/gradnet/ode.py", "Python", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 23, 256
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/src/gradnet/trainer.py", "Python", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 46, 521
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/src/gradnet/utils.py", "Python", 495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 73, 685
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/tests/test_gradnet.py", "Python", 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 57, 478
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/tests/test_ode.py", "Python", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 81, 328
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/tests/test_trainer.py", "Python", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53, 356
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/tests/test_utils_shortest_path.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 35, 216
"Total", "-", 2780, 33, 3751, 53, 65, 219, 26, 69, 25, 9, 5, 998, 1152, 9185
